feature1,feature2
1.9507156162152939,2.3335322795911737
1.6193607175460258,2.9521783529001855
2.3933462322688244,2.156297022240733
1.886574568710681,1.8800723229263074
1.8801090065560535,2.1055281462186057
1.9806914536294804,1.7203344431700538
1.9639154065264648,1.74809625149895
2.080734003776476,2.336540406356632
2.0834874258538942,2.1901574837550917
2.085852878888353,1.8797162062539021
2.1309062581737854,2.1983544414485854
2.1986836474261806,2.2238489795265544
1.8233738639795736,1.306591261663291
2.305760721037544,1.550108755849763
1.5847997361833859,1.9493716942421189
1.9369721419200994,1.4876019829349199
2.0626832399103154,1.8643447622416003
2.270403049249842,1.9082843569916677
2.1975208071392114,1.9443014282015085
2.0501147434623355,1.1715974813583507
1.572038410555463,2.318670221306061
1.6727073659957734,1.7796756499650859
1.5959438985024215,2.05299610771198
1.9311929861819153,1.3733094357774642
2.489042482136881,2.1763488402628632
2.166602877502973,1.8362733766717878
2.1216293089225475,2.022658870933936
1.7044784536174742,1.7653737542828756
2.263805912967893,2.1944625814239664
2.293715225408748,1.797257820899584
2.137232856012778,2.2088051744304007
1.8171822144413996,1.8511744886745973
2.262200840732151,1.8811184842156115
2.1314715991394046,1.7548269221620814
1.4893118290416283,2.32938437567992
1.8429202869134043,1.564066487918918
1.8735996570982074,1.7888939570952387
1.5657952897967073,1.986100290378687
2.137241468480594,1.5757600682602706
2.837714516952936,1.6044139069405645
2.112512206999061,1.721294384924429
2.16364866871982,1.8535406787692166
2.1233577567591855,1.9957652004895796
1.6290098686877958,2.159959388975127
2.1925059603754167,1.4234769614602074
2.024536957132887,2.2513972668882576
1.9188451468410048,1.7756387553732094
1.9684894088138751,1.8590405103339456
2.154693249094336,2.230828662236094
2.2342999589235397,2.0808019021073187
1.6734776985183295,1.9954298396424344
2.2317433607975414,1.9033742212172198
1.7995715242150543,2.16494351338905
2.2827916358391382,1.5792797194320907
2.1059001785592515,1.686480308055293
2.29034124628263,2.270758737154606
1.9557669134559468,2.0194368183316094
1.978842722122625,1.7974332376494602
1.8051921475615855,1.9465460858342085
2.002700638066906,1.5917033150696753
2.114380919019255,2.3290181730478494
1.7287060593319916,2.5802524523685366
1.6869668489980647,1.8247970918826344
2.129661668778247,2.2993476224848584
2.2897930554426713,2.3272132434822206
2.2979682523914757,1.6962851037054716
1.6163528393094688,1.8309852694249154
1.969909721633494,2.520595473308414
2.3993464596903373,1.760078022284009
1.9827493549904596,1.4894093183730068
1.6766230012013357,2.2761746649451364
1.8759862627859791,2.480398142404904
2.083928832005886,1.848655912525484
1.235846864831312,2.2980670875334837
2.0402928226365615,2.2895285917580566
1.9045740016189525,2.0254323965374073
1.8781441412288689,1.3405160798496212
1.9942287449575264,2.168288603786416
2.26549506245521,1.847438722164637
2.0840834768248997,2.019377950968717
2.1061042000064356,1.8334321691044675
2.286112449987984,1.4972491921046993
1.67924669938965,1.32058998202077
1.8348384066582748,1.893543599077044
1.4359511941957694,1.7812704194386113
2.2691944689244044,1.6259299779797611
2.1211921703803482,2.249272343247243
2.159548746545429,1.9894628589990087
1.9898066851129075,1.9814712062955524
2.0446722341163217,1.382023060946078
2.10097649584191,2.439273901852289
2.2865069483268927,1.78360743824281
2.0880339526445315,1.551177601228579
2.371466536841103,1.910754433066899
1.7667859737686893,2.5069793282396304
1.9362246836712789,1.9857398381377291
1.8030960034915502,1.6826390921050378
2.1505281057803662,1.6048958640942037
2.028502137630205,1.967803822684144
2.2548280692296077,1.8915221454137159
1.810486971473056,1.6329154926915563
2.1798263976319276,2.797807330376771
2.0002217468703063,1.7535491853330878
1.6339492927507748,2.194701199413348
1.8020322557787,1.8472893494406544
1.7775301318175647,2.02884365605668
1.905033441046513,1.8073092427070094
2.015032162238351,1.4334160436600638
1.9129826127272191,1.9752864217700878
1.8057602380056794,1.4677747193887385
1.8254192210666227,1.5663341274276381
2.1390111330200265,1.8848512520423053
2.432092918171029,2.230742950621904
2.1450818619417307,1.5638397979018013
2.2793043132621844,2.005707976874114
1.866946563036075,1.2932527988274773
1.8627526219677935,1.642380148918337
1.8787919933115018,2.267168523052938
2.3000340939410022,2.0591891366637283
1.940475780359602,1.960130802594911
1.4067574054682224,1.4826222748511908
2.032993349319757,2.5775500736179024
2.333369763256377,1.9401659477841822
1.7625694696218124,1.899893133107213
1.4793335287553457,2.2124226618908316
2.305457555524317,2.8256919568225585
2.079864200207067,2.2572935007231836
2.084384814530972,2.3674120262216696
2.077061956967741,2.6360571922035154
1.6002096696688883,1.836922497581445
2.4207168276386533,1.9265355346600845
2.012777319385142,1.9681413708048368
1.7036486302367173,2.003667270592117
2.2511782595726726,2.3112685138733022
2.4159093536979133,1.9821116999612747
1.6665041603608328,2.0193514764818894
2.07901131485271,1.4308622175205048
1.725549231390079,2.06563021192863
2.1373209219766376,1.6547793957587138
2.54157367082879,1.8295284383716193
2.061112622034411,2.4323953463531587
2.233994419228601,1.520727609732226
2.2282347834486362,2.4909946264900387
2.4352187655680773,2.0835633326650824
2.360918151397623,1.5048731148943864
2.007870365789195,1.883126511499269
2.0447211851349865,2.148615184432555
2.208847796528258,2.022802399290503
1.8379095465741757,1.722910428143101
1.7684150692803209,2.217676804643715
2.105959070313831,2.3280782534499
2.027274224481978,2.453818048642086
2.151962137685976,2.1589424995530764
2.1170598617852234,2.2936725065808847
1.607709077936856,2.435774145638295
2.0941957077741553,1.577031169905038
1.6588051559222015,2.224579438663715
2.153747172427942,2.6724824122373207
2.547253457871319,2.355649606348347
2.035836645347999,2.5800164812777995
1.7180536075137844,2.1885346251356363
1.911775982588128,2.3392349304596642
2.2599649430475575,1.9879049140827327
2.0843641179947396,1.8783509515963797
1.796856341077596,2.2772868360148344
